Id|Categoria|Nombre|Valoracion|Dificultad|Num_comensales|Tiempo|Tipo|Link_receta|Num_comentarios|Num_reviews|Fecha_modificacion|Ingredientes
74138|Recetas de Aperitivos y tapas|Receta de Baleadas hondureñas||baja|2|10m||https://www.recetasgratis.net/receta-de-baleadas-hondurenas-74138.html|0|0|2020-04-06|4 trotillas de harina,2 tazas de frijoles negros cocidos,2 aguacates,150 gramos de queso rallado,4 cucharadas soperas de crema agria
74133|Recetas de Aperitivos y tapas|Receta de Tacos de carne molida||baja|4|30m|Plato principal|https://www.recetasgratis.net/receta-de-tacos-de-carne-molida-74133.html|0|0|2020-03-27|500 gramos de carne molida,1 papa mediana,2 cucharadas soperas de puré de tomate concentrado,1 cebolla blanca,1 diente de ajo,10 aceitunas verdes sin hueso y rellenas de pimiento,1 cucharadita de orégano,1 cucharadita de pimentón picante (puede ser dulce),1 cucharadita de comino,2 onzas de tequila blanco,1 puñado de perejil fresco,10 mililitros de aceite de oliva,1 pizca de sal y pimienta,1 cebolla morada,1 jitomate,1 chile serrano,1 puñado de cilantro,1 limón verde,30 mililitros de aceite de oliva,1 aguacate,2 hojas de lechuga,1 taza de crema ácida,1 docena de tortillas de maíz
74154|Recetas de Aperitivos y tapas|Receta de Burritos norteños||muy baja|5|30m|Entrante|https://www.recetasgratis.net/receta-de-burritos-nortenos-74154.html|0|0|2020-03-25|10 tortillas de harina para burritos,500 gramos de chorizo,1½ tazas de frijoles molidos,1 taza de queso de hebra,1 taza de lechuga rebanada,3 cucharadas soperas de cebolla blanca picada,1 pizca de sal
74146|Recetas de Aperitivos y tapas|Receta de Croquetas de pollo caseras de la abuela||baja|4|45m|Entrante|https://www.recetasgratis.net/receta-de-croquetas-de-pollo-caseras-de-la-abuela-74146.html|0|0|2020-03-24|1 pechuga de pollo cocida y troceada,1 pellizco de nuez moscada molida,150 gramos de mantequilla,2 huevos,1 trozo de cebolla,2 vasos de leche (puede ser semidesnatada),1 tarro de pan rallado,1 pellizco de sal,3 cucharadas soperas de harina de trigo,2 vasos de aceite de girasol para freír,1 pellizco de pimienta negra molida
74081|Recetas de Aperitivos y tapas|Receta de Masa para empanadas fritas||baja|3|30m|Entrante|https://www.recetasgratis.net/receta-de-masa-para-empanadas-fritas-74081.html|0|0|2020-03-03|3 tazas de harina de trigo (420 gramos),1 pizca de sal,80 gramos de manteca (o mantequilla),1 cucharadita de polvo de hornear,1 tarro de leche o agua caliente,300 mililitros de aceite de oliva o girasol,1 cuenco de relleno al gusto (pino, queso u otro)
74068|Recetas de Aperitivos y tapas|Receta de Hummus de zanahoria||baja|6|1h 30m|Entrante|https://www.recetasgratis.net/receta-de-hummus-de-zanahoria-74068.html|0|0|2020-02-26|2 zanahorias,1 chorro de aceite de olivia virgen,1 pizca de sal,1 cucharadita de pimentón dulce,1 diente de ajo,1 lata de garbanzos en conserva (escurridos y enjuagados),80 gramos de aceite de oliva virgen,2 cucharadas soperas de tahina,1 cucharadita de pimentón dulce,1 cucharadita de comino molido,1 pizca de sal,1 limón (jugo)
74056|Recetas de Aperitivos y tapas|Receta de Tomates cherry confitados||baja|6|1h 30m|Acompañamiento|https://www.recetasgratis.net/receta-de-tomates-cherry-confitados-74056.html|0|0|2020-02-26|500 gramos de tomates cherry,1 rama de romero fresco,1 rama de tomillo fresco,1 rama de albahaca fresca,3 dientes de ajos,1 cucharada postre de sal,1 cucharadita de azúcar,1 cucharadita de pimienta negra en grano,200 mililitros de aceite de oliva virgen
74055|Recetas de Aperitivos y tapas|Receta de Ceviche de atún con mango|4.0|muy baja|4|1h 30m|Entrante|https://www.recetasgratis.net/receta-de-ceviche-de-atun-con-mango-74055.html|1|4|2020-02-24|2 filetes de atún,1 lima o limón,2 cucharadas soperas de aceite de oliva,1 diente de ajo,1 trozo de jengibre fresco,1 cebolla roja pequeña,1 mango,1 rama de cilantro,1 pizca de sal,1 pizca de pimienta,1 cucharada sopera de semillas de sésamo
74043|Recetas de Aperitivos y tapas|Receta de Edamame||muy baja|4|10m|Entrante|https://www.recetasgratis.net/receta-de-edamame-74043.html|0|0|2020-02-18|1 bolsa de edamame (vainas de soja),1 pellizco de sal fina,1 litro de agua,1 pellizco de escamas de sal,1 pellizco de pimentón dulce
73727|Recetas de Aperitivos y tapas|Receta de Bechamel para croquetas||baja|3|15m||https://www.recetasgratis.net/receta-de-bechamel-para-croquetas-73727.html|0|0|2020-02-04|1 litro de leche,50 gramos de mantequilla,1 cebolla,60 gramos de harina,Pimienta al gusto,1 cucharada postre de nuez moscada,Sal al gusto,1 cucharada sopera de aceite de oliva
74020|Recetas de Aperitivos y tapas|Receta de Farofa brasileña||baja|1|30m|Acompañamiento|https://www.recetasgratis.net/receta-de-farofa-brasilena-74020.html|0|0|2020-02-04|1 cebolla grande,1 chorro de aceite,2 cucharadas soperas de mantequilla,1 taza de harina de yuca o tapioca especiada
73994|Recetas de Aperitivos y tapas|Receta de Tarta de choclo||media|2|30m||https://www.recetasgratis.net/receta-de-tarta-de-choclo-73994.html|0|0|2020-02-12|200 gramos de harina,1 pizca de sal,1 pizca de pimienta,1 pizca de orégano,3 cucharadas soperas de aceite,1 chorro de agua,2 mazorcas de maíz,1 cebolla,2 cucharadas soperas de azúcar,1 pizca de sal,200 gramos de queso mozzarella,100 gramos de queso parmesano
73934|Recetas de Aperitivos y tapas|Receta de Empanadillas de espinacas||baja|4|30m||https://www.recetasgratis.net/receta-de-empanadillas-de-espinacas-73934.html|0|0|2019-12-31|1 paquete de obleas de empanadillas,1 paquete de espinacas,20 gramos de piñones,20 gramos de pasas,1 chorro de aceite,1 unidad de cebolla,1 pizca de sal,1 vaso de aceite para freír
73895|Recetas de Aperitivos y tapas|15 aperitivos saludables y fáciles|5.0|||||https://www.recetasgratis.net/articulo-15-aperitivos-saludables-y-faciles-73895.html|1|5|2019-12-30|
73919|Recetas de Aperitivos y tapas|Receta de Muhammara||baja|10|1h 30m|Entrante|https://www.recetasgratis.net/receta-de-muhammara-73919.html|0|0|2019-12-24|2 unidades de pimientos rojos,50 gramos de nueces peladas,30 gramos de pan rallado,2 dientes de ajo,1 cucharada postre de melaza de granada,2 pellizcos de comino, sal,2 pellizcos de pimienta aleppo o pul biber,1 chorro de jugo de limón,4 cucharadas soperas de aceite de oliva virgen extra
73914|Recetas de Aperitivos y tapas|Receta de Croquetas de boletus||media|6|1h 30m|Entrante|https://www.recetasgratis.net/receta-de-croquetas-de-boletus-73914.html|0|0|2020-02-04|200 gramos de boletus,1 cebolla pequeña o media,30 gramos de jamón curado (opcional),50 gramos de mantequilla,50 gramos de harina,500 mililitros de leche,1 chorro de aceite de oliva,2 huevos,200 gramos de pan rallado,1 vaso de aceite de oliva,1 pizca de sal
73907|Recetas de Aperitivos y tapas|Receta de Ceviche de pota||baja|4|30m||https://www.recetasgratis.net/receta-de-ceviche-de-pota-73907.html|0|0|2020-02-20|1 kilogramo de pota,1 ají rocoto,2 cebollas moradas,2 limones,Cilantro al gusto,2 Choclos (mazorcas de maíz fresco),Sal,Pimienta,1 cucharada postre de pasta de ají molido
73532|Recetas de Aperitivos y tapas|+20 entrantes para Navidad originales y fáciles|5.0|||||https://www.recetasgratis.net/articulo-20-entrantes-para-navidad-originales-y-faciles-73532.html|1|5|2019-12-17|
